id,post_id,user_name,comment_text,comment_date,comment_time,barangay,incident_type,created_at
122113596819367137_1577934500441390,1110390105498978_122113596819367137,Unknown,Magandang umaga po may gumuhong gusali po dito sa Poblacion 2 at kasalukuyang hinaharangan po ang kalsadsa,2026-08-24,03:35:33,Unknown,,2026-08-24T03:35:49.086599+00:00
122116085643367137_954513056997126,1110390105498978_122116085643367137,Unknown,tUlOnG relief goods nMn pO sA sAmPaLoC!!! gUtOm nA kMi!!!,2026-09-11,00:11:36,Sampaloc,emergency,2026-09-11T00:12:40.67031+00:00
122113836501367137_3409089269273945,1110390105498978_122113836501367137,Unknown,"Magandang gabi, pwede po ba kayo magpadala ng tao dito sa Barangay Sampaloc, malapit po sa highway para po maalis namin ang mga bato na nanggaling sa gumuhong gusali sa kalsada",2026-08-24,11:50:05,Sampaloc,,2026-08-24T11:50:21.967844+00:00
122113596819367137_952876534505186,1110390105498978_122113596819367137,Samson Jefferson,Hindi po maka tawid dine sa tuya sa brgy aya stranded na ho mga tao dine,2026-08-24,10:14:30,Aya,,2026-08-24T10:21:14.213953+00:00
122113596819367137_27957407490578636,1110390105498978_122113596819367137,Unknown,Baka naman po makakarespond agad kayo gawa ng may tumumbang poste ng kuryente dito sa Barangay Banga at nag lawit po ang kable ng kuryente,2026-08-24,05:02:14,Banga,,2026-08-24T05:03:19.270526+00:00
122115019251367137_4528360117488248,1110390105498978_122115019251367137,Unknown,bara n po kanal nmin kaya mabilis bumabaha kht di malakas ulan.,2026-09-03,00:53:43,Aya,flood,2026-09-03T02:54:44.229523+00:00
122113596819367137_1061498782905176,1110390105498978_122113596819367137,Samson Jefferson,Wala po bang tulong dine sa tumaway kailangan po namin maka lipat ng evacuation center,2026-08-24,11:26:42,Tumaway,evacuation,2026-08-24T11:27:05.815239+00:00
122113836501367137_1532104534909150,1110390105498978_122113836501367137,Responde Clone,"atin pong aaksyonan lahat sa abot ng aming makakaya, ang buong team ay gumagawa ng paraan para sa agarang aksyon at tulong, maraming salamat po.",2026-08-24,11:39:01,Aya,emergency,2026-08-24T11:44:31.96889+00:00
122115019251367137_2129870961212095,1110390105498978_122115019251367137,Unknown,check up lng po sana my allergy reaction kc bunso ko sa pagkain d2 sa relief goods Brgy Poblacion 3,2026-09-03,00:50:55,Unknown,,2026-09-03T02:54:42.590732+00:00
122113836501367137_1460213749273633,1110390105498978_122113836501367137,Unknown,MAY MALAKING BITAK SA LUPA MALAPIT SA covered court NATATAKOT PO KMI BAKA LUMALA PA SA BRGY Tranca PO ITO!😭,2026-08-24,13:15:15,Tranca,,2026-08-24T13:21:15.288993+00:00
122113596819367137_2379531249459767,1110390105498978_122113596819367137,Unknown,"Saan po pwedeng kumuha ng dagdag na relief goods para sa aming pamilya, Brgy. Balas?",2026-08-24,11:10:55,Balas,,2026-08-24T11:21:13.467572+00:00
122113596819367137_2068655303735808,1110390105498978_122113596819367137,Unknown,pwd po b dagdagan relief pack nmin marami po kc bata sa bhay nmin d2.,2026-08-24,11:10:16,Unknown,,2026-08-24T11:21:13.841376+00:00
